drug_name,num_prescriber,total_cost
BD ULTRA-FINE PEN NEEDLE,73991,126453888
DOXYCYCLINE HYCLATE,73326,125563488
NASONEX,22830,125002728
PATADAY,17741,124503480
OPANA ER,6114,122981016
TOLTERODINE TARTRATE ER,26970,120904752
GAMUNEX-C,630,119739448
PROCRIT,3913,119539696
LIALDA,6839,116502448
NUEDEXTA,6822,115660896
BUPROPION XL,75976,115480776
ABILIFY MAINTENA,2648,115140488
DIVALPROEX SODIUM,54434,114841384
XELJANZ,1466,113709928
CARVEDILOL,173208,112728960
PRISTIQ ER,16565,112443176
VENTOLIN HFA,69244,111854648
QVAR,22582,110495464
HUMULIN 70-30,15378,110186392
AGGRENOX,13859,109864880
HUMULIN R U-500,2474,107297728
NIACIN ER,23462,107101200
ENALAPRIL MALEATE,87331,106817760
VENLAFAXINE HCL ER,103846,106145984
LATANOPROST,53758,106067952
AZOPT,9775,105927360
ESCITALOPRAM OXALATE,135158,105590936
VALSARTAN-HYDROCHLOROTHIAZIDE,75744,105590320
DICLOFENAC SODIUM,50936,105161184
PROLASTIN C,684,103855944
SERTRALINE HCL,176507,103646432
TRAMADOL HCL,201587,101272128
NEXAVAR,559,101117608
VICTOZA 2-PAK,9571,100296512
NOVOLIN 70-30,18384,100036760
TIKOSYN,4012,99908096
NOVOLOG MIX 70-30,8955,99829528
HYDROCHLOROTHIAZIDE,206263,99583528
ALPRAZOLAM,161431,99189184
BREO ELLIPTA,10053,97453312
OLANZAPINE,52423,97264680
ADEMPAS,433,97172192
TIZANIDINE HCL,68252,96429376
TOVIAZ,14360,94376776
CLOZAPINE,16819,94310864
INTELENCE,2578,93122936
ZIPRASIDONE HCL,22253,92942136
RAPAFLO,9264,92934880
FINASTERIDE,86874,91568080
VALGANCICLOVIR HCL,1216,90360272
LEVETIRACETAM,66328,90164304
FLUOXETINE HCL,133211,89853120
ECONAZOLE NITRATE,10992,89755336
ZOLPIDEM TARTRATE,151421,89223008
BUDESONIDE EC,5263,89124808
ILEVRO,4202,89090776
MIRTAZAPINE,102071,88875288
ISOSORBIDE MONONITRATE ER,104521,88022280
PROLIA,3228,87620768
ATENOLOL,169491,86527184
HUMULIN N,14834,86281704
CHLORPROMAZINE HCL,7852,86076416
ADVAIR HFA,9049,85436008
NIFEDIPINE ER,64985,85152664
DIGOXIN,59499,84912688
SANTYL,9590,84435456
RANITIDINE HCL,132306,84248080
PREDNISONE,209927,83533144
DOXAZOSIN MESYLATE,70756,83517064
DUREZOL,5978,83494288
CINRYZE,96,83356752
CIMZIA,1182,82778568
PIOGLITAZONE HCL,56222,82188448
LIDOCAINE-PRILOCAINE,13219,82139320
URSODIOL,10068,82123976
TRAZODONE HCL,166145,81770352
CARBIDOPA-LEVODOPA,46124,81664160
COLCRYS,16026,81625352
BACLOFEN,78855,81224536
DIOVAN,17120,80907120
BRILINTA,9112,80015016
AMLODIPINE BESYLATE-BENAZEPRIL,57200,77898512
VIEKIRA PAK,134,76476320
LOSARTAN-HYDROCHLOROTHIAZIDE,111185,74873184
BRIMONIDINE TARTRATE,22348,74242632
LANSOPRAZOLE,53325,74131880
COLCHICINE,18103,72976992
DALIRESP,10198,72973888
LORAZEPAM,154549,72842568
PAROXETINE HCL,113284,72167016
AMITRIPTYLINE HCL,101683,71539352
JANUMET XR,7916,71189168
SAPHRIS,4443,71019176
MEMANTINE HCL,28293,70515696
MODAFINIL,7608,70504080
OXYBUTYNIN CHLORIDE,69586,70483040
REBIF REBIDOSE,655,70367168
GLIMEPIRIDE,94668,69848104
HUMALOG MIX 75-25,6063,69830032
EXEMESTANE,5532,69545960
HYDRALAZINE HCL,88725,69056616
POLYETHYLENE GLYCOL 3350,76103,69053744
SEROSTIM,193,68939944
VIGAMOX,5984,68480552
CITALOPRAM HBR,158589,68272360
SIMPONI,889,67760008
RISPERIDONE,69891,67444208
DILTIAZEM 24HR ER,44078,65830128
CALCIUM ACETATE,12293,65605760
CARBAMAZEPINE,32808,64582480
TUDORZA PRESSAIR,7980,64136340
CLONAZEPAM,143715,63847644
SPIRIVA RESPIMAT,6477,63178776
TIMOLOL MALEATE,29728,63108068
TARGRETIN,85,62800152
ALENDRONATE SODIUM,132489,61896484
ASACOL HD,4422,61872216
AZOR,9321,61605556
KEPPRA,2509,61488536
VOTRIENT,466,61397296
LAMICTAL,2418,60142940
LOTEMAX,6976,58808528
SUTENT,409,58773316
PATANOL,8893,58770944
LOVASTATIN,105543,58135056
SUSTIVA,2607,57442540
TRIAMCINOLONE ACETONIDE,88089,56989532
LIDODERM,5447,56984892
FOSRENOL,2100,56932904
AZITHROMYCIN,167239,56611308
ZEMAIRA,321,56545176
FLUOCINONIDE,16876,55955508
ORENITRAM ER,226,55324596
LISINOPRIL-HYDROCHLOROTHIAZIDE,129652,54887728
FIRAZYR,47,54721884
KALETRA,2283,54665496
GLUMETZA,979,54602948
METRONIDAZOLE,42846,54303760
DIGOX,44511,53530068
BYDUREON PEN,3904,53299928
CYCLOBENZAPRINE HCL,96775,53041840
PROPRANOLOL HCL ER,28650,52783504
EXJADE,427,52344032
BYETTA,4823,51597972
STELARA,241,51321692
BUTRANS,5590,51321408
MELOXICAM,138362,51117816
JUXTAPID,91,51032176
CLONIDINE,16102,50509684
METHYLPREDNISOLONE,73992,50145428
ESTRACE,8814,50055312
VAGIFEM,8615,49643640
PROLENSA,3583,49526500
CUBICIN,1004,49383408
TRIAMTERENE-HYDROCHLOROTHIAZID,98724,49048976
ELMIRON,2897,48535596
RIVASTIGMINE,11993,48247440
SPIRONOLACTONE,114733,48197684
NEUPRO,2952,47663028
CLOMIPRAMINE HCL,4443,47597036
FENOFIBRIC ACID,16763,47298492
FLUOROURACIL,7505,47013704
RAMIPRIL,64703,47012316
FANAPT,2046,47005124
ROPINIROLE HCL,71501,46993000
ONFI,1563,46918636
PENTASA,3200,46897116
KLOR-CON M20,61055,46888540
DILTIAZEM 24HR CD,51063,46815780
ATROVENT HFA,8597,46758656
DEXTROAMPHETAMINE-AMPHETAMINE,24545,46694596
BUSPIRONE HCL,70599,46676276
AZELASTINE HCL,23404,46381308
KETOCONAZOLE,38008,45632180
CARBAMAZEPINE ER,13491,45329616
APRISO,4546,45085048
BYDUREON,3876,44921236
THALOMID,345,44857928
CARTIA XT,48192,44709896
INSULIN SYRINGE,47767,44514860
NOVOLIN N,10916,44278684
BUPROPION HCL SR,61144,44016640
AMIODARONE HCL,53268,43995100
GATTEX,73,43866380
SUMATRIPTAN SUCCINATE,36974,43828188
PHENYTOIN SODIUM EXTENDED,41372,43648660
IBANDRONATE SODIUM,22991,43647184
ANORO ELLIPTA,4842,43627800
CHLORTHALIDONE,37913,43085388
BUDESONIDE,5856,42919392
TEMAZEPAM,70912,42882620
BUMETANIDE,33712,42877428
CARAFATE,8845,42526516
CLOTRIMAZOLE-BETAMETHASONE,35048,42233712
CIPROFLOXACIN HCL,161823,42151752
LEVOFLOXACIN,110120,41961744
DORZOLAMIDE-TIMOLOL,21996,41848412
VIIBRYD,8791,41329176
LABETALOL HCL,35971,41085072
NUVIGIL,3521,41007216
KOMBIGLYZE XR,5085,40712188
ENTACAPONE,5394,40002972
PROMACTA,442,39920004
CIALIS,6670,39529084
LEFLUNOMIDE,5791,39335128
GLIPIZIDE,108365,39317016
DEXTROAMPHETAMINE-AMPHET ER,11073,39247688
OXYMORPHONE HCL ER,3594,39214256
TAMIFLU,9599,39129504
FAMOTIDINE,86915,39060548
BANZEL,855,39001252
VANCOMYCIN HCL,7624,38917640
NOVOLIN R,10451,38888556
XOLAIR,663,38839464
POTASSIUM CITRATE ER,8520,38812412
OTEZLA,924,38705960
SELZENTRY,1101,38544408
IBUPROFEN,128247,38318108
ENTECAVIR,1710,38298808
ESTRADIOL,50268,38158052
AMOXICILLIN-CLAVULANATE POTASS,98144,38148136
NITROFURANTOIN MONO-MACRO,44619,38048224
LAMOTRIGINE,58617,37908836
TRIBENZOR,5659,37805180
VERAPAMIL ER,61506,37556900
XALKORI,213,37432412
NYSTATIN,50721,37404544
NEULASTA,275,37367788
PRAMIPEXOLE DIHYDROCHLORIDE,46668,37105028
VALACYCLOVIR,41825,37100196
BRINTELLIX,5015,37020476
AMANTADINE,12655,37001536
HALOPERIDOL,25808,36930832
DESONIDE,7910,36505868
SUPREP,6334,36220312
LIVALO,7477,36084004
INLYTA,181,35962976
HUMULIN R,10879,35916112
NEUPOGEN,626,35872512
PLEGRIDY PEN,304,35699772
ACETAMINOPHEN-CODEINE,81350,35379288
TOPIRAMATE,63273,35244180
OLYSIO,82,35152080
BESIVANCE,2493,34905128
PRIVIGEN,196,34397068
ASMANEX,7003,34368380
PROPRANOLOL HCL,62463,34141160
TACROLIMUS,4071,33912024
VASCEPA,3368,33785660
REMICADE,222,33750232
CARBIDOPA-LEVODOPA-ENTACAPONE,3750,33638964
OXCARBAZEPINE,25799,33582200
ZENPEP,2404,33458738
COREG CR,6217,33436566
ONDANSETRON HCL,50882,32993282
CLONIDINE HCL,103171,32814054
ACYCLOVIR,40766,32704584
NITROSTAT,50031,32362364
GLIPIZIDE ER,55117,32205766
TOPAMAX,1720,32064256
METHADONE HCL,27149,31879382
PROSOL,2049,31652032
CEFUROXIME,24559,31615602
BUPRENORPHINE-NALOXONE,3112,31575200
NADOLOL,15191,31212172
NYSTATIN-TRIAMCINOLONE,10185,30913200
TOPROL XL,23755,30911478
SUCRALFATE,33742,30649890
PREZCOBIX,688,30609898
IRBESARTAN,38626,30602910
JALYN,5649,30406158
ACTEMRA,545,30016458
ARANESP,1148,29863548
STRATTERA,4241,29743920
ISOSORBIDE DINITRATE,19712,29113922
MECLIZINE HCL,62225,29080404
AMLODIPINE-VALSARTAN,10346,28866312
FAZACLO,926,27798344
TOBRAMYCIN-DEXAMETHASONE,9280,27578558
FLECAINIDE ACETATE,15190,27488756
FLUCONAZOLE,67457,27344892
CARBIDOPA-LEVODOPA ER,13110,27296978
GILOTRIF,258,26989516
MIDODRINE HCL,15514,26927236
CELEBREX,4540,26920588
RENAGEL,1234,26893610
METOLAZONE,27328,26713848
METHYLPHENIDATE HCL,18087,26668602
JENTADUETO,2742,26645180
HUMULIN 70/30 KWIKPEN,2765,26565444
CEPHALEXIN,125348,25789978
PROPAFENONE HCL ER,2442,25761804
COUMADIN,12099,25743630
OLANZAPINE ODT,5290,25544806
VELPHORO,856,25519320
BENAZEPRIL HCL,76772,25229346
HIZENTRA,250,25227872
CALCITRIOL,21573,25210898
LEXIVA,934,25183280
APOKYN,71,24930244
DRONABINOL,3119,24924602
CALCIPOTRIENE,2670,24906382
NUCYNTA ER,2086,24866208
NORTHERA,180,24718512
TOUJEO SOLOSTAR,2020,24661326
SILDENAFIL,3019,24546142
SAVELLA,5334,24329700
TYSABRI,173,24314560
BERINERT,17,24296838
NEVANAC,2160,24206044
DILTIAZEM ER,29366,24124718
DELZICOL,2875,24002570
DIAZEPAM,92468,23789566
ERIVEDGE,146,23776138
ARALAST NP,172,23751644
BENZTROPINE MESYLATE,34066,23685322
FARXIGA,3086,23545844
BUTALBITAL-ACETAMINOPHEN-CAFFE,20003,23540036
REPAGLINIDE,8850,23488548
BETAMETHASONE DIPROPIONATE,11778,23471614
LAMICTAL XR,782,23328064
NAPROXEN,90783,23234906
VIAGRA,2134,23210508
GALANTAMINE HBR,8908,23144130
HYDROMORPHONE HCL,25636,23142998
AMOXICILLIN,157739,23118676
SIMBRINZA,5303,22970870
KETOROLAC TROMETHAMINE,10299,22906350
LAMOTRIGINE ER,2009,22850944
GEMFIBROZIL,51289,22705834
RISEDRONATE SODIUM,5221,22088810
CICLOPIROX,10598,21887042
VENLAFAXINE HCL,29050,21769324
VYVANSE,4232,21746908
NUCYNTA,2256,21676420
FONDAPARINUX SODIUM,731,21546962
CHANTIX,5169,21538926
MYCOPHENOLATE MOFETIL,7797,21476730
METHYLPHENIDATE ER,5336,21430818
VALCYTE,342,21414488
PREVACID,3289,21323488
PERPHENAZINE,8432,21271588
MUPIROCIN,46127,21267742
SULFAMETHOXAZOLE-TRIMETHOPRIM,118536,21241310
ROZEREM,4182,21159664
ALBUTEROL SULFATE,15678,21115026
CHOLESTYRAMINE,10702,20971544
ANASTROZOLE,18010,20809814
HYDROMORPHONE ER,1207,20797380
LACTULOSE,35297,20661644
PERCOCET,933,20571952
DAKLINZA,53,20571756
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14052,20536392
INVANZ,2012,20496388
ACETAZOLAMIDE,7048,20430720
CAPTOPRIL,10335,20244690
LAMIVUDINE-ZIDOVUDINE,1742,20034338
AVONEX ADMINISTRATION PACK,250,19945582
QUINAPRIL HCL,38589,19882926
METHENAMINE HIPPURATE,6801,19814616
CEFDINIR,20562,19700148
DOXEPIN HCL,26179,19640332
GAMMAKED,99,19608130
ABACAVIR,2001,19421340
GLIPIZIDE-METFORMIN,9208,19382432
FELODIPINE ER,19247,19368034
STIVARGA,132,19319126
PARICALCITOL,2786,19240960
TERAZOSIN HCL,59618,19239444
GLIPIZIDE XL,35562,19206554
OXYCODONE HCL ER,1631,19120528
ETODOLAC,11686,18975508
KALYDECO,51,18927258
SABRIL,65,18887372
NOXAFIL,177,18884674
TORSEMIDE,31786,18684572
ENABLEX,3740,18550356
RITUXAN,111,18469736
HUMULIN N KWIKPEN,1783,18266770
EPIPEN 2-PAK,1949,18115650
NATEGLINIDE,7369,18039918
FENTORA,88,17953064
IPRATROPIUM BROMIDE,23065,17949408
ENDOCET,7739,17945170
WELLBUTRIN XL,834,17844872
PILOCARPINE HCL,7012,17743464
DURAGESIC,855,17742754
BOSULIF,133,17558496
MEKINIST,99,17547280
AVASTIN,116,17191058
PIOGLITAZONE-METFORMIN,4604,17169908
NIFEDICAL XL,25242,17152800
LEVOCETIRIZINE DIHYDROCHLORIDE,22206,17015842
PREMPRO,6368,16984216
FLUOROMETHOLONE,5199,16932552
NITROFURANTOIN,17251,16914422
IPRATROPIUM-ALBUTEROL,16270,16909626
SOTALOL,26915,16894082
ESZOPICLONE,15152,16745914
TELMISARTAN,11171,16733952
OFLOXACIN,10837,16669326
TOLTERODINE TARTRATE,8094,16640624
CIPRODEX,3905,16572311
SEREVENT DISKUS,3282,16355183
MOVIPREP,3752,16337306
KEPPRA XR,877,16288915
ZYDELIG,138,16264156
PRIMIDONE,28232,16220306
HYDROXYZINE HCL,34258,16182713
ORKAMBI,46,16111615
NABUMETONE,22253,16103371
TAFINLAR,103,16083101
TEKTURNA,4931,16070159
ZOLPIDEM TARTRATE ER,11350,15908944
HUMALOG MIX 50-50 KWIKPEN,794,15765240
RYTARY,630,15710921
MORPHINE SULFATE,21600,15673119
JADENU,95,15614680
LUPRON DEPOT,367,15611394
LYNPARZA,169,15561418
LOVAZA,2807,15352796
TRULICITY,1157,15314555
KUVAN,52,15307577
PHENOBARBITAL,20688,15208924
CLOZARIL,640,15174680
ACITRETIN,944,15101070
VIMOVO,437,15009486
CLINDAMYCIN PHOSPHATE,8015,14934103
AMMONIUM LACTATE,14046,14927142
AZATHIOPRINE,11961,14852610
COLESTIPOL HCL,7256,14632436
CILOSTAZOL,25639,14619591
CYMBALTA,3129,14567386
DILANTIN,9379,14541490
ATOVAQUONE,636,14527913
DIPHENOXYLATE-ATROPINE,22825,14431483
FORADIL,2667,14409004
ACTIMMUNE,21,14237715
CARISOPRODOL,26396,14186919
DORZOLAMIDE HCL,12831,14118664
BARACLUDE,525,14064393
SAMSCA,143,14044483
APTIOM,606,13985767
ONDANSETRON ODT,28905,13972541
GRALISE,1518,13930207
RAVICTI,16,13918985
TEGRETOL XR,3984,13822256
FETZIMA,2442,13810491
HALOPERIDOL DECANOATE,5599,13805629
KALBITOR,18,13776932
KLOR-CON M10,25964,13776668
NORTRIPTYLINE HCL,41320,13642804
BUPROPION HCL,18740,13627456
HYDROCORTISONE,26432,13617275
ATELVIA,1990,13608530
DESOXIMETASONE,3904,13516630
LAMIVUDINE,2298,13415541
ICLUSIG,59,13371227
TROSPIUM CHLORIDE,5041,13332583
PENNSAID,316,13318307
EDURANT,676,13266249
DEPAKOTE ER,1754,13125296
ZYPREXA,1000,13083277
BISOPROLOL FUMARATE,15370,13060470
ERYTHROMYCIN,13169,13055212
OCTAGAM,57,13012075
NITROGLYCERIN PATCH,16669,12887320
BALSALAZIDE DISODIUM,3373,12747076
TAMOXIFEN CITRATE,10546,12711757
NYSTOP,14382,12568373
PROGRAF,761,12561958
CALCITONIN-SALMON,9102,12545317
SOMAVERT,81,12327390
FLECTOR,1345,12309326
PYRIDOSTIGMINE BROMIDE,5511,12276673
DYMISTA,2906,12221834
GLASSIA,75,12039600
ACTONEL,2582,11946567
APIDRA SOLOSTAR,1178,11901484
TELMISARTAN-HYDROCHLOROTHIAZID,5546,11766147
CANASA,854,11707991
PROMETHAZINE HCL,37636,11696857
DILTIAZEM HCL,27492,11690376
TRAMADOL HCL-ACETAMINOPHEN,17600,11615770
GATIFLOXACIN,1452,11610004
TESTOSTERONE CYPIONATE,10658,11591931
MEGESTROL ACETATE,15291,11492909
SOLIRIS,25,11491591
METAXALONE,2824,11478287
GLYBURIDE,23940,11476813
SEROQUEL,1243,11473992
AMLODIPINE-ATORVASTATIN,3112,11378507
REVATIO,181,11337520
DESMOPRESSIN ACETATE,6117,11267949
CAYSTON,91,11235197
BETHANECHOL CHLORIDE,6501,11193178
TROSPIUM CHLORIDE ER,2528,11179157
LIPITOR,2434,11111066
ASPIRIN-DIPYRIDAMOLE ER,2162,11081201
HYDROCORTISONE VALERATE,3023,11049194
EPLERENONE,4386,11007692
OXYMORPHONE HCL,1795,10979850
DICYCLOMINE HCL,43531,10922968
METHAZOLAMIDE,1314,10895527
JARDIANCE,1290,10879851
LUMIZYME,15,10829915
CLOZAPINE ODT,849,10741114
THEOPHYLLINE ANHYDROUS,15511,10714654
TRANSDERM-SCOP,3930,10707193
EXFORGE,2523,10699411
TRILEPTAL,802,10624315
DEPAKOTE,1363,10612927
CEVIMELINE HCL,2178,10598319
ROPINIROLE ER,2061,10585280
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562415
FELBAMATE,865,10542277
BOTOX,352,10526585
LIOTHYRONINE SODIUM,10317,10455342
CLOTRIMAZOLE,11931,10373911
LETROZOLE,9867,10237337
ATENOLOL-CHLORTHALIDONE,19940,10149589
NEVIRAPINE ER,721,10111346
ATIVAN,369,10046004
CEFTRIAXONE,6474,10026344
PROVENTIL HFA,6714,9983577
EXTAVIA,162,9958265
HUMALOG MIX 50-50,638,9939224
METHOCARBAMOL,22687,9842818
GLUCAGON EMERGENCY KIT,1722,9831264
PROGESTERONE,5460,9812402
PRAZOSIN HCL,13296,9757899
ZONEGRAN,398,9752805
FABRAZYME,27,9724536
VORICONAZOLE,439,9616504
MESTINON,508,9590516
TYKERB,143,9535464
HERCEPTIN,89,9530365
RELPAX,1385,9508843
SIROLIMUS,587,9502324
HALOBETASOL PROPIONATE,2311,9475398
EFFEXOR XR,1585,9469784
CHENODAL,13,9441616
BUPRENORPHINE HCL,2377,9428292
DICLOFENAC POTASSIUM,7103,9422517
PROTONIX,2062,9409865
PROCTOZONE-HC,6138,9369574
GAMMAPLEX,54,9306196
HETLIOZ,76,9261255
PULMICORT FLEXHALER,2306,9259400
TRAMADOL HCL ER,4043,9249997
OMEPRAZOLE-SODIUM BICARBONATE,992,9203095
FLUOCINOLONE ACETONIDE,2914,9184080
AMLODIPINE-VALSARTAN-HCTZ,2781,9166557
CUPRIMINE,62,9144745
FLOVENT DISKUS,2509,9097856
DILT-XR,12413,9096855
EMTRIVA,964,8963556
VELCADE,78,8951191
HYDROXYUREA,9379,8936107
PROPAFENONE HCL,8388,8931210
XOPENEX HFA,6634,8852995
DOXYCYCLINE MONOHYDRATE,14707,8832552
CARBIDOPA,464,8769835
MYCOPHENOLIC ACID,640,8730929
EDECRIN,546,8698686
RABEPRAZOLE SODIUM,6967,8698303
SPIRONOLACTONE-HCTZ,7257,8663487
ALCOHOL PREP PADS,8807,8648734
LENVIMA,33,8634826
CANDESARTAN CILEXETIL,4618,8595079
DIGITEK,10261,8554351
JANTOVEN,22734,8371211
PLAVIX,2452,8340028
KLOR-CON 10,15751,8325328
CLINDAMYCIN HCL,46546,8321293
ALFUZOSIN HCL ER,11259,8299499
METOCLOPRAMIDE HCL,37217,8260567
EXALGO,344,8214299
BICALUTAMIDE,8620,8181614
DUEXIS,200,8172532
TOBRADEX,1736,8136189
FLUPHENAZINE DECANOATE,2164,8103907
GLUCAGEN,1413,8089405
INVOKAMET,959,7987081
RISPERIDONE ODT,2338,7867980
LOVENOX,693,7861686
ZONISAMIDE,8445,7837210
TRETINOIN,2602,7816991
CEREZYME,22,7801002
MINOCYCLINE HCL,12210,7759699
ZIOPTAN,1862,7700937
TROKENDI XR,501,7700455
NISOLDIPINE,2056,7678541
TESTOSTERONE,1212,7668880
NORDITROPIN FLEXPRO,202,7622418
SILENOR,1242,7584299
CELLCEPT,341,7557018
NEOMYCIN-POLYMYXIN-DEXAMETH,11036,7537425
ESTRING,1267,7534718
XGEVA,196,7531296
ACIPHEX,953,7373903
RELISTOR,388,7290889
K-TAB ER,4704,7228018
EGRIFTA,102,7223719
ACARBOSE,4997,7180679
PHENYTOIN,8598,7120104
FELBATOL,222,7110913
PROVIGIL,268,7109831
MYSOLINE,184,7106786
IMIQUIMOD,2307,7098814
SULFASALAZINE,8952,7091335
DEXTROAMPHETAMINE SULFATE ER,1661,7076395
BEXAROTENE,17,7072228
IRBESARTAN-HYDROCHLOROTHIAZIDE,9090,7065218
NAGLAZYME,7,7056828
CLARITHROMYCIN,6712,7019549
BIDIL,1463,7017667
TANZEUM,882,6945343
LEXAPRO,1872,6931776
TEGRETOL,1896,6831535
BOOSTRIX TDAP,2219,6814033
PERMETHRIN,3078,6809043
NOVOFINE 32,6188,6808611
VALPROIC ACID,10636,6795691
GEODON,637,6791763
VIRACEPT,441,6780457
LEUKINE,31,6779668
TRELSTAR,92,6737760
SYPRINE,20,6700754
GENTAMICIN SULFATE,7852,6646325
NOVOFINE AUTOCOVER,3721,6610257
FLUVOXAMINE MALEATE,9605,6579899
VPRIV,12,6579193
PROCYSBI,8,6570002
